AIRPORT,Year,Month,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Date
ADELAIDE,2012,3,25746,25886,51632,2012-03-01T00:00:00
ADELAIDE,2012,4,25399,26317,51716,2012-04-01T00:00:00
ADELAIDE,2012,5,20661,24575,45236,2012-05-01T00:00:00
ADELAIDE,2012,6,23206,26101,49307,2012-06-01T00:00:00
ADELAIDE,2012,7,31466,24802,56268,2012-07-01T00:00:00
ADELAIDE,2012,8,24624,24733,49357,2012-08-01T00:00:00
ADELAIDE,2012,9,27126,27912,55038,2012-09-01T00:00:00
ADELAIDE,2012,10,30722,22970,53692,2012-10-01T00:00:00
ADELAIDE,2012,11,28453,30172,58625,2012-11-01T00:00:00
ADELAIDE,2012,12,31996,37996,69992,2012-12-01T00:00:00
ADELAIDE,2013,1,39912,30336,70248,2013-01-01T00:00:00
ADELAIDE,2013,2,32894,25038,57932,2013-02-01T00:00:00
ADELAIDE,2013,3,30633,30591,61224,2013-03-01T00:00:00
ADELAIDE,2013,4,30059,33507,63566,2013-04-01T00:00:00
ADELAIDE,2013,5,25232,29676,54908,2013-05-01T00:00:00
ADELAIDE,2013,6,27642,30977,58619,2013-06-01T00:00:00
ADELAIDE,2013,7,38906,33858,72764,2013-07-01T00:00:00
ADELAIDE,2013,8,33245,31092,64337,2013-08-01T00:00:00
ADELAIDE,2013,9,34517,35056,69573,2013-09-01T00:00:00
ADELAIDE,2013,10,39954,28567,68521,2013-10-01T00:00:00
ADELAIDE,2013,11,34066,34016,68082,2013-11-01T00:00:00
ADELAIDE,2013,12,39818,49993,89811,2013-12-01T00:00:00
ADELAIDE,2014,1,53530,41795,95325,2014-01-01T00:00:00
ADELAIDE,2014,2,40484,29320,69804,2014-02-01T00:00:00
ADELAIDE,2014,3,35407,35805,71212,2014-03-01T00:00:00
ADELAIDE,2014,4,39176,42911,82087,2014-04-01T00:00:00
ADELAIDE,2014,5,34798,39547,74345,2014-05-01T00:00:00
ADELAIDE,2014,6,35861,44801,80662,2014-06-01T00:00:00
ADELAIDE,2014,7,51507,44103,95610,2014-07-01T00:00:00
ADELAIDE,2014,8,41013,39796,80809,2014-08-01T00:00:00
ADELAIDE,2014,9,39785,40956,80741,2014-09-01T00:00:00
ADELAIDE,2014,10,44279,35206,79485,2014-10-01T00:00:00
ADELAIDE,2014,11,33966,35010,68976,2014-11-01T00:00:00
ADELAIDE,2014,12,38989,49220,88209,2014-12-01T00:00:00
ADELAIDE,2015,1,50816,40325,91141,2015-01-01T00:00:00
ADELAIDE,2015,2,38274,30765,69039,2015-02-01T00:00:00
ADELAIDE,2015,3,34114,36696,70810,2015-03-01T00:00:00
ADELAIDE,2015,4,33223,37246,70469,2015-04-01T00:00:00
ADELAIDE,2015,5,31243,36424,67667,2015-05-01T00:00:00
ADELAIDE,2015,6,32695,37826,70521,2015-06-01T00:00:00
ADELAIDE,2015,7,40295,36893,77188,2015-07-01T00:00:00
ADELAIDE,2015,8,35798,34901,70699,2015-08-01T00:00:00
ADELAIDE,2015,9,35418,35682,71100,2015-09-01T00:00:00
ADELAIDE,2015,10,39982,32407,72389,2015-10-01T00:00:00
ADELAIDE,2015,11,30136,30705,60841,2015-11-01T00:00:00
ADELAIDE,2015,12,36126,43398,79524,2015-12-01T00:00:00
ADELAIDE,2016,1,44890,39537,84427,2016-01-01T00:00:00
ADELAIDE,2016,2,35415,29381,64796,2016-02-01T00:00:00
ADELAIDE,2016,3,32873,33552,66425,2016-03-01T00:00:00
ADELAIDE,2016,4,31541,36181,67722,2016-04-01T00:00:00
ADELAIDE,2016,5,31336,37676,69012,2016-05-01T00:00:00
ADELAIDE,2016,6,33289,39790,73079,2016-06-01T00:00:00
ADELAIDE,2016,7,47258,43425,90683,2016-07-01T00:00:00
ADELAIDE,2016,8,39027,40220,79247,2016-08-01T00:00:00
ADELAIDE,2016,9,42085,41067,83152,2016-09-01T00:00:00
ADELAIDE,2016,10,46341,35408,81749,2016-10-01T00:00:00
ADELAIDE,2016,11,34776,36227,71003,2016-11-01T00:00:00
ADELAIDE,2016,12,41707,51177,92884,2016-12-01T00:00:00
ADELAIDE,2017,1,51344,42933,94277,2017-01-01T00:00:00
ADELAIDE,2017,2,37838,30773,68611,2017-02-01T00:00:00
ADELAIDE,2017,3,34763,36346,71109,2017-03-01T00:00:00
ADELAIDE,2017,4,34119,39693,73812,2017-04-01T00:00:00
ADELAIDE,2017,5,33197,37924,71121,2017-05-01T00:00:00
ADELAIDE,2017,6,34097,39198,73295,2017-06-01T00:00:00
ADELAIDE,2017,7,46589,43123,89712,2017-07-01T00:00:00
ADELAIDE,2017,8,42160,40424,82584,2017-08-01T00:00:00
ADELAIDE,2017,9,44410,42623,87033,2017-09-01T00:00:00
