CAT_TRAVELLER,Category of traveller,Duration of stay,Reason for journey,TIME_PERIOD,OBS_VALUE
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-10,6780
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-11,5030
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-12,5910
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-01,9030
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-02,7210
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-03,9570
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-04,8500
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-05,6530
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-06,5650
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-07,5650
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-08,6410
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-09,6590
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-10,6140
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-11,6140
6,Short-term (less than one year) Visitors arriving,Total,Employment,2002-12,4430
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-01,7380
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-02,5860
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-03,5020
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-04,4210
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-05,4310
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-06,5460
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-07,8120
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-08,8120
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-09,8600
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-10,9660
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-11,8620
6,Short-term (less than one year) Visitors arriving,Total,Employment,2003-12,8530
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-01,12120
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-02,10370
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-03,8360
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-04,8810
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-05,9050
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-06,9050
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-07,6880
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-08,6120
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-09,6130
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-10,7550
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-11,7640
6,Short-term (less than one year) Visitors arriving,Total,Employment,2004-12,7210
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-01,8960
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-02,6570
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-03,8600
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-04,6460
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-05,6240
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-06,7430
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-07,9860
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-08,11130
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-09,10450
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-10,13860
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-11,11950
6,Short-term (less than one year) Visitors arriving,Total,Employment,2005-12,14010
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-01,14700
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-02,12200
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-03,12690
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-04,12930
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-05,12650
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-06,12850
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-07,14370
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-08,13570
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-09,14440
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-10,15240
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-11,14900
6,Short-term (less than one year) Visitors arriving,Total,Employment,2006-12,17950
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-01,16260
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-02,14710
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-03,14710
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-04,14020
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-05,13680
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-06,13790
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-07,13820
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-08,15530
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-09,14620
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-10,14680
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-11,17290
6,Short-term (less than one year) Visitors arriving,Total,Employment,2007-12,17530
6,Short-term (less than one year) Visitors arriving,Total,Employment,2008-01,18450
6,Short-term (less than one year) Visitors arriving,Total,Employment,2008-02,18200
6,Short-term (less than one year) Visitors arriving,Total,Employment,2008-03,16260
